metric,method_code,identity_bin_percent,n_released_designs,design_ids,n_visible_markers,experimental_mean,experimental_median,experimental_min,experimental_max,assignment_level,individual_design_assignment_identifiable,note
yield_mg_L,m1,55.20362,2,hyperTEV11;hyperTEV22,1,9.102272727272727,9.102272727272727,9.102272727272727,9.102272727272727,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m1,55.656109,1,hyperTEV18,1,7.6979472140762315,7.6979472140762315,7.6979472140762315,7.6979472140762315,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m1,56.108597,1,hyperTEV34,1,46.02346041055716,46.02346041055716,46.02346041055716,46.02346041055716,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m1,56.561086,4,hyperTEV6;hyperTEV8;hyperTEV20;hyperTEV28,4,32.044115922884316,30.447199675324676,12.33689839572195,54.94516594516596,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m1,57.013575,2,hyperTEV31;hyperTEV33,2,11.733505624809988,11.733505624809988,8.965034965034977,14.501976284584998,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m1,57.466063,4,hyperTEV10;hyperTEV15;hyperTEV26;hyperTEV40,4,26.827769609968477,27.080333380025216,7.12299465240643,46.027417027417044,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m1,57.918552,3,hyperTEV5;hyperTEV23;hyperTEV25,2,11.31111111111111,11.31111111111111,5.767676767676758,16.854545454545462,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m1,58.371041,2,hyperTEV29;hyperTEV44,1,7.796143250688726,7.796143250688726,7.796143250688726,7.796143250688726,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m1,59.276018,3,hyperTEV1;hyperTEV37;hyperTEV42,2,11.189100011377853,11.189100011377853,7.0038684719535755,15.374331550802129,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m1,59.728507,2,hyperTEV35;hyperTEV38,2,22.736225895316796,22.736225895316796,5.632231404958682,39.84022038567491,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,62.443439,1,hyperTEV45,1,31.007682458386668,31.007682458386668,31.007682458386668,31.007682458386668,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,62.895928,3,hyperTEV9;hyperTEV17;hyperTEV41,2,42.75884115884115,42.75884115884115,34.14285714285713,51.374825174825176,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,63.348416,2,hyperTEV27;hyperTEV39,2,42.802436956982405,42.802436956982405,37.830769230769214,47.77410468319559,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,63.800905,3,hyperTEV3;hyperTEV24;hyperTEV36,3,26.639671361502348,26.022727272727273,10.623559539052497,43.27272727272727,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,64.253394,2,hyperTEV2;hyperTEV48,2,19.904188768977498,19.904188768977498,18.23175416133162,21.576623376623377,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,64.705882,4,hyperTEV4;hyperTEV19;hyperTEV30;hyperTEV32,4,28.188389865970418,32.37107276285358,6.928297055057638,41.08311688311687,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,65.158371,2,hyperTEV12;hyperTEV21,1,20.003952569169954,20.003952569169954,20.003952569169954,20.003952569169954,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,65.61086,5,hyperTEV13;hyperTEV14;hyperTEV16;hyperTEV46;hyperTEV47,5,28.336056953979153,22.21052631578947,9.986666666666679,52.131313131313114,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,66.063348,1,hyperTEV43,1,33.10468319559227,33.10468319559227,33.10468319559227,33.10468319559227,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m2,67.420814,1,hyperTEV7,1,42.63636363636363,42.63636363636363,42.63636363636363,42.63636363636363,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m3,71.040724,2,hyperTEV51;hyperTEV84,2,17.82637032085561,17.82637032085561,14.369318181818182,21.28342245989304,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m3,71.493213,1,hyperTEV76,2,15.675151515151523,15.675151515151523,11.804848484848497,19.545454545454547,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m3,71.945701,5,hyperTEV58;hyperTEV60;hyperTEV66;hyperTEV75;hyperTEV92,6,19.26550977246164,22.32495543672014,0.9480519480519599,26.96623376623376,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m3,72.39819,8,hyperTEV49;hyperTEV53;hyperTEV54;hyperTEV64;hyperTEV65;hyperTEV69;hyperTEV72;hyperTEV88,3,20.916109451320718,16.686868686868696,15.545454545454545,30.516005121638912,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m3,72.850679,10,hyperTEV50;hyperTEV55;hyperTEV59;hyperTEV61;hyperTEV68;hyperTEV74;hyperTEV83;hyperTEV90;hyperTEV91;hyperTEV96,4,14.102831567409577,17.10191981931112,0.4909090909090992,21.71657754010696,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m3,73.303167,8,hyperTEV56;hyperTEV57;hyperTEV63;hyperTEV70;hyperTEV71;hyperTEV78;hyperTEV82;hyperTEV87,2,19.18769362247624,19.18769362247624,12.628458498023726,25.74692874692875,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
